designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,level-int[][],preTaskReq-int[],chanceOptions-string
"{""options"":[{""optionType"":2,""value"":""134,1""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",1,0,11,10001,,,
"{""options"":[{""optionType"":1,""value"":""134,2""},{""optionType"":2,""value"":""134,1""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",2,0,11,10002,"1,1;2,1",1,
"{""options"":[{""optionType"":3,""value"":""30,1""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",3,0,11,10003,"2,2",2,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",4,0,11,10004,"2,3",3,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",5,0,11,10005,"2,4",4,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",6,0,11,10006,,5,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",7,1,11,10007,,5,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",8,1,11,10008,,"6,7",
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",9,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",10,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",11,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",12,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",13,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",14,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",15,1,11,Traveling,,,
"{""options"":[{""optionType"":4,""value"":""8,2""}]}","For the sake of love and peace, please go to the designated place",0,"1,100",16,1,11,Traveling,,,
,"For love and peace, please give me these",0,"1,100",17,1,24,Collecting,,,"{""options"":[{""optionType"":1,""value"":""30,1,100""},{""optionType"":1,""value"":""70,10,100;33,2,300;30,1,100""}]}"
